merchant_id,merchant_name,merchant_category,live_created_date
18633,HotelMuze,TRAVEL AND ACCOMMODATION,2017-07-24
19144,ClaraBankz,FINANCIAL SERVICES,2017-07-31
21518,Kid Food,FOOD AND BEVERAGE,2017-08-18
22303,The Flourish,FOOD AND BEVERAGE,2017-08-25
22689,Tommy Hilfiger,CONSTRUCTION AND INDUSTRIAL,2017-08-29
22868,FashionFiesta,FOOD AND BEVERAGE,2017-08-30
23108,BangkokClick,DIGITAL GOODS AND STATIONERY,2017-09-01
25201,N-fiesta,GENERAL GOODS STORES,2017-09-20
25272,StarCave,FINANCIAL SERVICES,2017-09-21
26683,Avenues72,AMUSEMENT AND ENTERTAINMENT,2017-10-04
26690,Albert New,PROFESSIONAL SERVICES,2017-10-04
26808,Deploya-Logo,PERSONAL CARE,2017-10-05
26916,Flying Fest,DIGITAL GOODS AND STATIONERY,2017-10-06
28679,Greater Gifts,SPORTS OUTLETS,2017-10-25
29080,Woodstock General,DIGITAL GOODS AND STATIONERY,2017-10-30
29171,Adventure Nature,AUTOMOBILES AND VEHICLES,2017-10-31
30671,Big Beauty,AUTOMOBILES AND VEHICLES,2017-11-16
30941,Felacia,PROFESSIONAL SERVICES,2017-11-20
31358,Milli,DIGITAL GOODS AND STATIONERY,2017-11-24
31849,DailyMart,DIGITAL GOODS AND STATIONERY,2017-11-30
31937,CircleGeneral,PROFESSIONAL SERVICES,2017-12-01
32261,Crown,PERSONAL CARE,2017-12-06
32429,Drygoods,DIGITAL GOODS AND STATIONERY,2017-12-08
32876,Boulevard Gifts,PERSONAL CARE,2017-12-15
33005,Shopello,TRANSPORTATION,2017-12-18
33506,Jackson Street,TELECOMMUNICATION,2017-12-27
33838,PureC,PERSONAL CARE,2018-01-04
34717,Groove,INFORMATION TECHNOLOGY,2018-01-16
35106,Diffuzzy,PERSONAL CARE,2018-01-22
35629,Premier Gifts,PERSONAL CARE,2018-01-30
36101,MenWomen,PERSONAL CARE,2018-02-08
36467,Seven Vision,Beauty and fragrances,2018-02-14
37388,BloopBerry,CLOTHING OUTLETS,2018-02-22
37768,Devlex,TELECOMMUNICATION,2018-03-02
37769,Women Store,TELECOMMUNICATION,2018-03-02
38281,Clothywave,AMUSEMENT AND ENTERTAINMENT,2018-03-13
38289,EverMan,FOOD AND BEVERAGE,2018-03-13
38656,DemandOn,PROFESSIONAL SERVICES,2018-03-20
39056,InsideOut,FINANCIAL SERVICES,2018-03-28
40113,Bruzex,DIGITAL GOODS AND STATIONERY,2018-04-19
40743,Play Video,GENERAL GOODS STORES,2018-05-02
42172,Acre Bar,FOOD AND BEVERAGE,2018-05-31
42760,beuBelle,CLOTHING OUTLETS,2018-06-14
42761,First Trend,FOOD AND BEVERAGE,2018-06-14
43318,Zerlin beauty,GENERAL GOODS STORES,2018-06-26
43475,The Full Cart,DIGITAL GOODS AND STATIONERY,2018-06-29
43651,Neighborly,TELECOMMUNICATION,2018-07-03
43652,Jasmine,TELECOMMUNICATION,2018-07-03
43682,WhiteFoxy,TELECOMMUNICATION,2018-07-04
43785,202 Whimsical,TRAVEL AND ACCOMMODATION,2018-07-06
43937,Accent,FOOD AND BEVERAGE,2018-07-10
44046,Flash Stores,DIGITAL GOODS AND STATIONERY,2018-07-12
44873,Catty,ANIMAL GOODS AND SERVICES,2018-07-31
45812,Zoodle,TRANSPORTATION,2018-08-22
46458,Cybershop,GENERAL GOODS STORES,2018-09-04
46602,NewVibe,GENERAL GOODS STORES,2018-09-07
47105,Pulse Gift Shop,CLOTHING OUTLETS,2018-09-19
47261,Math way,EDUCATION SERVICES,2018-09-24
48394,Green Organica,FOOD AND BEVERAGE,2018-10-22
48552,joyunbound,TRAVEL AND ACCOMMODATION,2018-10-26
48917,Rogun,GENERAL GOODS STORES,2018-11-05
48960,Simpify,PROFESSIONAL SERVICES,2018-11-07
49157,MusicSky,AMUSEMENT AND ENTERTAINMENT,2018-11-12
50020,Lone Star,AMUSEMENT AND ENTERTAINMENT,2018-12-05
51292,Paper Rock,ARTS AND HOBBIES,2019-01-14
51624,Amerika,CLOTHING OUTLETS,2019-01-22
51779,Zerry,TRANSPORTATION,2019-01-25
51848,Arbor General Store,PROFESSIONAL SERVICES,2019-01-28
52328,UrbanBond,"HOME, FURNISHINGS AND ELECTRONICS",2019-02-11
53585,MeShopping,"HOME, FURNISHINGS AND ELECTRONICS",2019-02-18
53679,Casual Dots,CLOTHING OUTLETS,2019-02-21
53946,Quail,SPORTS OUTLETS,2019-02-28
55056,Chemi,EDUCATION SERVICES,2019-03-07
56110,SaltWater,FINANCIAL SERVICES,2019-03-26
56289,One-Click Picks,FINANCIAL SERVICES,2019-03-29
56299,Quail Hollow,FINANCIAL SERVICES,2019-03-29
56512,Plentiful,AUTOMOBILES AND VEHICLES,2019-04-03
58652,The White Barn,"HOME, FURNISHINGS AND ELECTRONICS",2019-05-21
59147,Man wire,TELECOMMUNICATION,2019-05-29
60260,chunky,CLOTHING OUTLETS,2019-06-18
60611,M-Video,INFORMATION TECHNOLOGY,2019-06-24
60666,Joys,"HOME, FURNISHINGS AND ELECTRONICS",2019-06-25
60675,Pylones,SPORTS OUTLETS,2019-06-25
61534,Main Street,FOOD AND BEVERAGE,2019-07-09
61597,ClearClean,FOOD AND BEVERAGE,2019-07-10
62257,Dreamy,FOOD AND BEVERAGE,2019-07-22
62860,ToTheMoon,PROFESSIONAL SERVICES,2019-07-31
62995,TurkishStreet,FOOD AND BEVERAGE,2019-08-02
63103,Delights,CLOTHING OUTLETS,2019-08-05
63177,Isabel,EDUCATION SERVICES,2019-08-06
63338,nextcharm,GENERAL GOODS STORES,2019-08-08
63345,Funspike,FOOD AND BEVERAGE,2019-08-08
65025,Surprise,INFORMATION TECHNOLOGY,2019-08-23
65148,Wagon,PROFESSIONAL SERVICES,2019-08-27
65161,Petite,CONSTRUCTION AND INDUSTRIAL,2019-08-27
65197,Sofast,PERSONAL CARE,2019-08-28
65317,Bloom,FOOD AND BEVERAGE,2019-08-30
65647,Pink Elixir,FOOD AND BEVERAGE,2019-09-05
65734,CarFull,AUTOMOBILES AND VEHICLES,2019-09-06
65882,forevergrace.store,AMUSEMENT AND ENTERTAINMENT,2019-09-09
69295,MigthyWood,TRANSPORTATION,2019-10-21
69300,Keepsakes,TELECOMMUNICATION,2019-10-21
70185,Fresh Pavilion General Store,SPORTS OUTLETS,2019-11-07
70993,Handmood,FOOD AND BEVERAGE,2019-11-26
71206,FoodDepot General Store,FOOD AND BEVERAGE,2019-12-02
71207,MysticSpace,FOOD AND BEVERAGE,2019-12-02
71208,E-Store,FOOD AND BEVERAGE,2019-12-02
71209,SafeYummy,FOOD AND BEVERAGE,2019-12-02
71211,Woodforest Corner Store,DIGITAL GOODS AND STATIONERY,2019-12-02
71214,Bound by Sky,TRANSPORTATION,2019-12-02
71215,Superette Online Store,GENERAL GOODS STORES,2019-12-02
71657,Munzee,CLOTHING OUTLETS,2019-12-13
71771,PennyUp,INFORMATION TECHNOLOGY,2019-12-17
72005,Online Grocery,SPORTS OUTLETS,2019-12-24
72006,NewCab,TRANSPORTATION,2019-12-24
72041,TopSkin,PERSONAL CARE,2019-12-25
72098,Mystique,"HOME, FURNISHINGS AND ELECTRONICS",2019-12-26
72576,GreatGix,EDUCATION SERVICES,2020-01-09
72723,Pier 33,CLOTHING OUTLETS,2020-01-13
72777,Avenue 52,"HOME, FURNISHINGS AND ELECTRONICS",2020-01-14
72814,FreshTeen,CLOTHING OUTLETS,2020-01-15
72987,Roots,PROFESSIONAL SERVICES,2020-01-20
73093,The Sweet Spot,CLOTHING OUTLETS,2020-01-22
73326,Lots of Love Gifts,DIGITAL GOODS AND STATIONERY,2020-01-27
73695,Nest Interiors,FOOD AND BEVERAGE,2020-02-05
74101,E-Z Go,FINANCIAL SERVICES,2020-02-13
74317,BingG,CLOTHING OUTLETS,2020-02-19
74406,HomeBox,"HOME, FURNISHINGS AND ELECTRONICS",2020-02-21
75355,SuperSor,SPORTS OUTLETS,2020-03-11
75373,FreshArt,PROFESSIONAL SERVICES,2020-03-11
75418,Directmart Grocery,MEDICAL CARE AND EQUIPMENT,2020-03-12
75593,Hands of the World,FINANCIAL SERVICES,2020-03-16
75633,Fabunna,CLOTHING OUTLETS,2020-03-17
75732,Ten Thousand Villages,EDUCATION SERVICES,2020-03-19
75887,Right Jade Boutique,"HOME, FURNISHINGS AND ELECTRONICS",2020-03-23
76107,TailSpree Fashion Shop,DIGITAL GOODS AND STATIONERY,2020-03-26
77008,Delany,CLOTHING OUTLETS,2020-04-10
77071,Brown Bear,CLOTHING OUTLETS,2020-04-11
77229,TukTukcall,TRANSPORTATION,2020-04-14
77664,UpZine,FOOD AND BEVERAGE,2020-04-20
78170,BoxBug,FINANCIAL SERVICES,2020-04-28
78300,IndianHal,FOOD AND BEVERAGE,2020-04-30
78362,Redspice,FOOD AND BEVERAGE,2020-04-30
79199,BlackFeather,DIGITAL GOODS AND STATIONERY,2020-05-16
79443,Build123,CONSTRUCTION AND INDUSTRIAL,2020-05-19
79772,henceBerry,FOOD AND BEVERAGE,2020-05-25
80188,VitaminZ,PERSONAL CARE,2020-05-29
80449,XYZ,CLOTHING OUTLETS,2020-06-04
81930,PurpleShades,PERSONAL CARE,2020-06-30
82283,ScienceSquare,EDUCATION SERVICES,2020-07-07
82912,Iris Legacy,TRAVEL AND ACCOMMODATION,2020-07-17
82956,MexicanWay,TRAVEL AND ACCOMMODATION,2020-07-17
82966,Centralriver,TRAVEL AND ACCOMMODATION,2020-07-17
82969,Sunlight Shopping,TRAVEL AND ACCOMMODATION,2020-07-17
82976,LoweFravyo,TRAVEL AND ACCOMMODATION,2020-07-17
83199,Lapis Works,GENERAL GOODS STORES,2020-07-21
83895,The Thousand Villages,PERSONAL CARE,2020-08-03
84125,Magnolia,FOOD AND BEVERAGE,2020-08-06
84176,DreamStore,AMUSEMENT AND ENTERTAINMENT,2020-08-07
84261,Brookshire Brothers,FOOD AND BEVERAGE,2020-08-10
84427,Designee,PROFESSIONAL SERVICES,2020-08-13
84601,KnickKnacks,TELECOMMUNICATION,2020-08-17
85400,Spacebase,FINANCIAL SERVICES,2020-08-31
85883,Directmart,FOOD AND BEVERAGE,2020-09-10
86489,Cassa,TELECOMMUNICATION,2020-09-22
87034,PikePlace,UNIONS AND ASSOCIATIONS,2020-10-05
87040,BetterU,CLOTHING OUTLETS,2020-10-05
87593,BlueFace,PERSONAL CARE,2020-10-15
87782,Drop Five Digital Outlet,TRAVEL AND ACCOMMODATION,2020-10-19
88348,Tweg,PROFESSIONAL SERVICES,2020-10-30
88471,SnackTime,FOOD AND BEVERAGE,2020-11-02
88511,Enviro,AMUSEMENT AND ENTERTAINMENT,2020-11-03
88661,neatandsleek.store,PROFESSIONAL SERVICES,2020-11-05
88901,Charmed,GENERAL GOODS STORES,2020-11-10
88929,AllyouWant,GENERAL GOODS STORES,2020-11-10
89080,BurgerQueen,FOOD AND BEVERAGE,2020-11-13
89432,TerraBella General Store,MEDICAL CARE AND EQUIPMENT,2020-11-18
89551,BeautyBond,GENERAL GOODS STORES,2020-11-20
100213,Seashell,SPORTS OUTLETS,2020-12-03
101251,Five Friends Grocery,FOOD AND BEVERAGE,2020-12-23
101970,Tres Chic,FOOD AND BEVERAGE,2021-01-07
101983,Pines Grocery,FOOD AND BEVERAGE,2021-01-07
102476,Coins,FINANCIAL SERVICES,2021-01-15
102714,CallMe,TELECOMMUNICATION,2021-01-19
105249,DailyWish,PROFESSIONAL SERVICES,2021-03-02
105348,Wholesome,PROFESSIONAL SERVICES,2021-03-03
105689,SolveEazy,FINANCIAL SERVICES,2021-03-09
105969,unkemptdelight.store,GENERAL GOODS STORES,2021-03-15
106091,OutDoorFun,AMUSEMENT AND ENTERTAINMENT,2021-03-17
106913,GoopGub,TRAVEL AND ACCOMMODATION,2021-03-29
106959,DriskPlus,FOOD AND BEVERAGE,2021-03-30
107001,Crapo Crex,GENERAL GOODS STORES,2021-03-30
107162,Urban Green,DIGITAL GOODS AND STATIONERY,2021-04-01
108971,Black Daylight,PROFESSIONAL SERVICES,2021-04-30
109832,hex Rex,TRANSPORTATION,2021-05-13
110282,TreeOfUs,PROFESSIONAL SERVICES,2021-05-19
110899,Sychelle,GENERAL GOODS STORES,2021-05-28
111562,The Fig Tree,GENERAL GOODS STORES,2021-06-07
113610,Flying Jester,TRAVEL AND ACCOMMODATION,2021-07-07
114020,Fashii,CLOTHING OUTLETS,2021-07-14
114380,Healthyyy,FOOD AND BEVERAGE,2021-07-20
114934,ProMarket,PROFESSIONAL SERVICES,2021-07-30
115378,FastEngine,AUTOMOBILES AND VEHICLES,2021-08-06
117116,Primespot,SPORTS OUTLETS,2021-09-06
118780,meltedglitter.store,AMUSEMENT AND ENTERTAINMENT,2021-10-07
118869,EachPeach,"HOME, FURNISHINGS AND ELECTRONICS",2021-10-08
121666,Speedy,FINANCIAL SERVICES,2021-11-11
124811,Adonia,MEDICAL CARE AND EQUIPMENT,2022-01-14
125107,MadeTo,CLOTHING OUTLETS,2022-01-20
125838,Aethen,DIGITAL GOODS AND STATIONERY,2022-02-03
126210,DogHouse,ANIMAL GOODS AND SERVICES,2022-02-09
128400,FoodInspire,FOOD AND BEVERAGE,2022-03-21
132013,FamilyFun,AMUSEMENT AND ENTERTAINMENT,2022-05-31
319,Jet,TRANSPORTATION,2014-11-27
938,AppZa,GENERAL GOODS STORES,2015-03-09
13744,BIDee,INFORMATION TECHNOLOGY,2017-03-06
14657,Noina,INFORMATION TECHNOLOGY,2017-04-07
15536,RedVel,TRAVEL AND ACCOMMODATION,2017-05-09
16172,Joyful,EDUCATION SERVICES,2017-06-02
16311,NiceFancy,CLOTHING OUTLETS,2017-06-06
17373,Ikaa,"HOME, FURNISHINGS AND ELECTRONICS",2017-06-29
21249,Magg,FINANCIAL SERVICES,2017-08-16
23913,Junn,TRANSPORTATION,2017-09-07
25964,Swimpool,CONSTRUCTION AND INDUSTRIAL,2017-09-27
29922,Oddy,GENERAL GOODS STORES,2017-11-08
29942,Treasure Island,DIGITAL GOODS AND STATIONERY,2017-11-08
31551,Raw Dog Clothes,TRANSPORTATION,2017-11-27
31870,Fusion Mart,"HOME, FURNISHINGS AND ELECTRONICS",2017-11-30
33908,Hanesbrands,GENERAL GOODS STORES,2018-01-05
34451,Sure To Shop,AMUSEMENT AND ENTERTAINMENT,2018-01-11
35777,WhiteCoast General Store,TRANSPORTATION,2018-02-01
37868,Rings N Things,TELECOMMUNICATION,2018-03-05
38409,UrbanSheep,GENERAL GOODS STORES,2018-03-15
41239,The Children’s General Store,CLOTHING OUTLETS,2018-05-11
41496,GoThat,DIGITAL GOODS AND STATIONERY,2018-05-16
43362,Better Dream,FOOD AND BEVERAGE,2018-06-27
43483,ChickBerry,PROFESSIONAL SERVICES,2018-06-29
43587,Ye Olde Curiosity Shop,FOOD AND BEVERAGE,2018-07-02
43624,BlueBliss Boutique,GENERAL GOODS STORES,2018-07-03
43626,Truebelle,GENERAL GOODS STORES,2018-07-03
43663,Yellow Umbrella Gift Shop,CLOTHING OUTLETS,2018-07-03
43927,Ravensgoods,CLOTHING OUTLETS,2018-07-10
44439,Moon Trims,PROFESSIONAL SERVICES,2018-07-20
44928,WhatElse?,PERSONAL CARE,2018-08-01
45556,SuperFresh,EDUCATION SERVICES,2018-08-16
45764,Clicked In,AMUSEMENT AND ENTERTAINMENT,2018-08-21
46539,Quickmart,FOOD AND BEVERAGE,2018-09-06
50002,Express Flowers,FINANCIAL SERVICES,2018-12-04
50604,Deluxe Online,MEDICAL CARE AND EQUIPMENT,2018-12-21
51351,LavaBeauty,FOOD AND BEVERAGE,2019-01-16
52321,Pretty Lovely,MEDICAL CARE AND EQUIPMENT,2019-02-11
53567,Silver Leaf Handmade Jewelry,DIGITAL GOODS AND STATIONERY,2019-02-18
53584,Lovely Creations,PROFESSIONAL SERVICES,2019-02-18
53661,PlentyFresh,CLOTHING OUTLETS,2019-02-20
54116,Springoo,PROFESSIONAL SERVICES,2019-03-04
56118,HenceMan,PERSONAL CARE,2019-03-26
56304,organiccharm.store,AMUSEMENT AND ENTERTAINMENT,2019-03-29
56307,Hendrix Fashion Shop,AMUSEMENT AND ENTERTAINMENT,2019-03-29
57782,Graceful,FINANCIAL SERVICES,2019-05-07
58636,Take A Scroll,EDUCATION SERVICES,2019-05-21
61126,The White Hanger,FINANCIAL SERVICES,2019-07-02
62868,Cole Grocery and Deli,CLOTHING OUTLETS,2019-07-31
63166,Eldorado,CLOTHING OUTLETS,2019-08-06
63575,Fanciful Gifting,TRAVEL AND ACCOMMODATION,2019-08-15
63717,Gift Enterprises,"HOME, FURNISHINGS AND ELECTRONICS",2019-08-19
65110,This and That Gifts,INFORMATION TECHNOLOGY,2019-08-26
65868,AdornGreat,DIGITAL GOODS AND STATIONERY,2019-09-09
67166,SpruceCity Grocery,FINANCIAL SERVICES,2019-10-02
70634,Wish Upon a Gift,MEDICAL CARE AND EQUIPMENT,2019-11-17
71761,All About Gift Basket,INFORMATION TECHNOLOGY,2019-12-17
72979,creepydivine.store,MEDICAL CARE AND EQUIPMENT,2020-01-20
74647,Rainy Day Hobby Shop,DIGITAL GOODS AND STATIONERY,2020-02-27
75939,Townsend Gift Shoppe,EDUCATION SERVICES,2020-03-24
76422,Stumble & Relish,PERSONAL CARE,2020-03-31
76514,Unique Online Store,FINANCIAL SERVICES,2020-04-02
76901,UrbanFeelo,DIGITAL GOODS AND STATIONERY,2020-04-08
77202,Candy Tyme,TRANSPORTATION,2020-04-14
77721,The Handmade Showroom,"Computers, accessories, and services",2020-04-21
78158,FashionMatters,FOOD AND BEVERAGE,2020-04-28
78336,E-Shop,EDUCATION SERVICES,2020-04-30
78341,Cornucopia,TELECOMMUNICATION,2020-04-30
79245,Fun Gifts and Treasures,EDUCATION SERVICES,2020-05-17
79781,All American Clothing Co.,FOOD AND BEVERAGE,2020-05-25
82169,Seaside Gifts,PROFESSIONAL SERVICES,2020-07-04
82570,SplishSplash Handmade Soap Co.,EDUCATION SERVICES,2020-07-13
82845,Good Clothing Company,ARTS AND HOBBIES,2020-07-16
82856,Borge Paper Boutique,TRAVEL AND ACCOMMODATION,2020-07-16
82906,The Pink Ribbon,TRAVEL AND ACCOMMODATION,2020-07-17
82924,endlessgiggles.store,TRAVEL AND ACCOMMODATION,2020-07-17
82925,Time for Love Gifts,DIGITAL GOODS AND STATIONERY,2020-07-17
82933,Grown & Sewn,TRAVEL AND ACCOMMODATION,2020-07-17
82944,Dollar General,TRAVEL AND ACCOMMODATION,2020-07-17
82949,Sun & Shore,TRAVEL AND ACCOMMODATION,2020-07-17
82960,Liberty Land,TRAVEL AND ACCOMMODATION,2020-07-17
82963,Blank Leaf,TRAVEL AND ACCOMMODATION,2020-07-17
82971,Wildy Mountain,TRAVEL AND ACCOMMODATION,2020-07-17
83172,Food Town,TRAVEL AND ACCOMMODATION,2020-07-20
83290,Woodforest,TRAVEL AND ACCOMMODATION,2020-07-22
83292,GlowCharm,TRAVEL AND ACCOMMODATION,2020-07-22
83344,Levelex Grocery,TRAVEL AND ACCOMMODATION,2020-07-23
83734,The Flower Lady,ARTS AND HOBBIES,2020-07-30
83795,Fresh Tangerine,TRAVEL AND ACCOMMODATION,2020-07-31
83810,hebboHeu,DIGITAL GOODS AND STATIONERY,2020-07-31
83984,CleoBelle,TELECOMMUNICATION,2020-08-04
84174,Eighth Generation,TRAVEL AND ACCOMMODATION,2020-08-07
84614,On the Go Foods,FINANCIAL SERVICES,2020-08-17
84627,UpTempo,PERSONAL CARE,2020-08-18
85044,LOFT Outlet,TRAVEL AND ACCOMMODATION,2020-08-24
85213,Ever After,PROFESSIONAL SERVICES,2020-08-27
85530,JoyBox General Store,INFORMATION TECHNOLOGY,2020-09-03
86475,Artsy Antiques and Gifts,MEDICAL CARE AND EQUIPMENT,2020-09-22
86531,In the Ivy,TRAVEL AND ACCOMMODATION,2020-09-23
87042,Just Because Gifts,DIGITAL GOODS AND STATIONERY,2020-10-05
87538,Green Shop,FINANCIAL SERVICES,2020-10-14
87606,LazyLush Women Fashion Store,TRAVEL AND ACCOMMODATION,2020-10-15
88114,Digital Daily Deals,TRAVEL AND ACCOMMODATION,2020-10-26
88237,ky High Supplies,DIGITAL GOODS AND STATIONERY,2020-10-28
88857,Once Upon a Trinket,DIGITAL GOODS AND STATIONERY,2020-11-09
88903,Corner Shop,DIGITAL GOODS AND STATIONERY,2020-11-10
89012,LoveLust,EDUCATION SERVICES,2020-11-12
89438,PaperLatte,FOOD AND BEVERAGE,2020-11-18
89756,Enchanted Buddha,FINANCIAL SERVICES,2020-11-25
100204,Think Geek,ANIMAL GOODS AND SERVICES,2020-12-03
100285,ObliQ,PERSONAL CARE,2020-12-04
100801,Premier Mart,PROFESSIONAL SERVICES,2020-12-15
100994,LoLo Zy,FINANCIAL SERVICES,2020-12-18
102378,HorseMan Fashion,MEDICAL CARE AND EQUIPMENT,2021-01-13
102491,EdgeWynk,DIGITAL GOODS AND STATIONERY,2021-01-15
102911,Pieces Clothing,TRAVEL AND ACCOMMODATION,2021-01-22
102912,Azeliea Boutique Shop,TRAVEL AND ACCOMMODATION,2021-01-22
102962,Palm House Gift Shop,INFORMATION TECHNOLOGY,2021-01-22
103151,Virgohues,TRAVEL AND ACCOMMODATION,2021-01-26
104831,Webuystock Online,FOOD AND BEVERAGE,2021-02-23
104963,Faburra Boutique,OTHER SERVICES,2021-02-25
105281,workablebeam.store,ARTS AND HOBBIES,2021-03-02
105330,RevengeUp,PROFESSIONAL SERVICES,2021-03-03
105402,SwagCity,"HOME, FURNISHINGS AND ELECTRONICS",2021-03-04
105735,YouSpice Boutique,DIGITAL GOODS AND STATIONERY,2021-03-10
105810,WholeMart Grocery,PROFESSIONAL SERVICES,2021-03-11
106615,Enviro Mart,SPORTS OUTLETS,2021-03-24
107609,You look great,EDUCATION SERVICES,2021-04-09
108350,Foxglove,PROFESSIONAL SERVICES,2021-04-22
108351,Good Looks,FINANCIAL SERVICES,2021-04-22
108400,The Warm House,DIGITAL GOODS AND STATIONERY,2021-04-22
109130,Orbin Ant,PROFESSIONAL SERVICES,2021-05-03
109253,Sweet Sixteen,GENERAL GOODS STORES,2021-05-05
109255,Swiss Dream Gifts,TELECOMMUNICATION,2021-05-05
109339,True Martin General Store,INFORMATION TECHNOLOGY,2021-05-06
109592,Xciton,DIGITAL GOODS AND STATIONERY,2021-05-10
109831,Amalgary fashion,DIGITAL GOODS AND STATIONERY,2021-05-13
110289,Stanford,FOOD AND BEVERAGE,2021-05-19
110452,Making History,PROFESSIONAL SERVICES,2021-05-21
110596,Shiny Gift Shop,INFORMATION TECHNOLOGY,2021-05-24
110961,MayerWood Ladies Fashion Shop,DIGITAL GOODS AND STATIONERY,2021-05-28
111091,Noah’s Ark Gifts,INFORMATION TECHNOLOGY,2021-05-31
111397,Premiere Retail,PERSONAL CARE,2021-06-04
111721,Twinkle Twinkle Trinkets,FOOD AND BEVERAGE,2021-06-09
111824,Plato’s Closet,TELECOMMUNICATION,2021-06-10
112166,To You From Me,TELECOMMUNICATION,2021-06-15
