id,dispute_opened_date,Category,dispute_amount,charge_id
23170,2020-09-10,Fraud,2778.0,89577458
23171,2020-07-08,Commercial,747.93,89812853
23172,2020-08-07,Commercial,1865.0,89902701
23173,2020-07-22,Fraud,8025.0,90090143
23174,2020-07-15,Fraud,305.0,90207865
23175,2020-09-18,Fraud,1762.29,90350169
23176,2020-08-26,Fraud,880.0,90413499
23177,2020-07-15,Fraud,636.0,90581279
23178,2020-08-11,Commercial,484.71,90671792
23179,2020-07-10,Commercial,5880.0,90806980
23180,2020-10-21,Fraud,1248.36,90917061
23181,2020-06-24,Commercial,885.96,91136184
23182,2020-07-01,Fraud,657.0,91213255
23183,2020-07-08,Fraud,1416.0,91405210
23184,2020-07-22,Fraud,2393.0,91505400
23185,2020-10-19,Commercial,855.0,91693026
23186,2020-07-13,Fraud,913.86,91752677
23187,2020-07-01,Commercial,481.5,91846255
23188,2020-07-02,Fraud,16402.88,92041997
23189,2020-08-05,Commercial,398.0,92174693
23190,2020-07-15,Commercial,939.46,92332776
23191,2020-08-03,Commercial,1632.29,92570356
23192,2020-07-30,Commercial,520.0,92650910
23193,2020-07-15,Commercial,720.0,92808220
23194,2020-09-10,Fraud,2779.0,93041310
23195,2020-07-09,Commercial,1051.28,93152644
23196,2020-08-10,Commercial,100.0,93227321
23197,2020-10-28,Fraud,1071.54,93349630
23198,2020-08-05,Commercial,250.0,93488952
23199,2020-07-25,Commercial,319.0,93647684
23200,2020-07-16,Commercial,4811.79,93773166
23201,2020-09-23,Fraud,626.0,93880536
23202,2020-08-18,Commercial,1496.19,94016488
23203,2020-07-16,Commercial,747.93,94158835
23204,2020-07-20,Fraud,1193.44,94289372
23205,2020-07-22,Commercial,981.19,94397379
23206,2020-08-19,Fraud,975.0,94594707
23207,2020-08-11,Commercial,1144.43,94625082
23208,2020-11-05,Fraud,1582.0,94871501
23209,2020-07-24,Commercial,851.72,94979343
23210,2020-08-19,Fraud,999.0,94997952
23211,2020-10-22,Commercial,961.93,95154641
23212,2020-07-24,Commercial,1603.93,95282332
23213,2020-11-18,Commercial,1475.0,95451785
23214,2020-09-02,Fraud,1441.98,95660380
23215,2020-09-01,Commercial,1729.48,95795358
23216,2020-10-09,Commercial,2000.0,95874382
23217,2020-08-19,Fraud,1784.0,96012093
23218,2020-08-31,Commercial,426.93,96113974
23219,2020-12-02,Fraud,1175.93,96259858
23220,2020-09-23,Fraud,430.21,96394587
23221,2020-10-21,Fraud,3473.53,96607066
23222,2020-11-11,Fraud,3696.0,96741894
23223,2020-10-21,Commercial,781.0,96903169
23224,2020-08-07,Commercial,1099.0,97082540
23225,2020-12-09,Fraud,746.86,97189905
23226,2020-10-21,Fraud,4000.0,97305024
23227,2020-09-02,Fraud,928.99,97551417
23228,2020-08-19,Commercial,250.0,97594964
23229,2020-08-20,Commercial,655.38,97830191
23230,2020-09-30,Commercial,331.37,97862263
23231,2020-10-28,Fraud,7150.0,97985507
23232,2020-09-15,Commercial,24850.0,98183242
23233,2020-10-29,Commercial,719.4,98328527
23234,2020-12-09,Fraud,1117.0,98482180
23235,2020-08-18,Commercial,640.93,98710317
23236,2020-12-09,Fraud,1617.0,98728891
23237,2020-09-02,Fraud,2277.0,98943713
23238,2020-12-09,Fraud,1951.75,99078477
23239,2020-09-02,Fraud,2000.0,99162930
23240,2020-11-16,Commercial,764.0,99473627
23241,2020-11-11,Commercial,2351.86,99602209
23242,2020-11-16,Commercial,538.0,99799724
23243,2020-10-02,Commercial,32854.36,99946906
23244,2020-08-28,Commercial,1308.5,100035627
23245,2020-09-30,Fraud,299.0,100118631
23246,2020-09-11,Fraud,24.7,100234261
23247,2020-09-30,Fraud,399.0,100487492
23248,2020-09-14,Fraud,13448.61,100650151
23249,2020-10-07,Fraud,1082.0,100828814
23250,2020-09-10,Fraud,1343.43,100940408
23251,2020-10-07,Fraud,3535.0,101037406
23252,2020-12-02,Fraud,457.0,101191785
23253,2020-10-28,Commercial,448.0,101395659
23254,2020-12-24,Fraud,1311.0,101602321
23255,2020-09-09,Fraud,199.0,101779122
23256,2020-09-25,Commercial,348.88,101877635
23257,2020-10-21,Fraud,828.0,102048406
23258,2020-09-21,Commercial,643.07,102175236
23259,2020-10-28,Fraud,2805.0,102289382
23260,2020-10-01,Commercial,799.0,102549404
23261,2020-10-12,Commercial,2298.0,102607061
23262,2020-10-09,Fraud,1099.0,102851586
23263,2020-09-29,Commercial,1761.22,102884169
23264,2020-10-08,Commercial,2500.0,103103972
23265,2020-09-30,Fraud,459.0,103160698
23266,2020-09-18,Fraud,383.19,103331558
23267,2020-11-04,Fraud,307.0,103463323
23268,2020-09-18,Fraud,427.04,103581066
23269,2020-11-18,Fraud,299.0,103765747
23270,2020-09-22,Commercial,2825.77,103900524
23271,2021-01-26,Commercial,2500.0,104043165
23272,2020-10-22,Fraud,4000.0,104076745
23273,2020-10-01,Fraud,1000.0,104195197
23274,2020-10-21,Fraud,859.0,104411574
23275,2020-12-22,Commercial,600.0,104588959
23276,2020-11-04,Commercial,298.53,104632481
23277,2020-09-30,Fraud,59.37,104771612
23278,2020-10-28,Fraud,1362.0,105070130
23279,2020-10-30,Fraud,849.0,105176561
23280,2020-10-08,Fraud,6480.0,105198163
23281,2020-10-22,Fraud,4000.0,105519648
23282,2020-12-24,Commercial,2300.0,105563637
23283,2021-01-27,Commercial,900.0,105774803
23284,2020-11-19,Fraud,2500.0,105926711
23285,2020-12-24,Fraud,300.0,106075593
23286,2020-11-30,Fraud,990.0,106208798
23287,2020-11-02,Fraud,500.0,106355328
23288,2020-10-19,Fraud,7920.0,106500287
23289,2020-11-02,Commercial,200.0,106743163
23290,2020-11-18,Fraud,880.0,106824104
23291,2020-11-03,Commercial,990.0,106984286
23292,2020-10-28,Fraud,200.0,107130752
23293,2021-02-10,Fraud,598.0,107267430
23294,2020-11-02,Commercial,370.0,107420082
23295,2020-11-02,Commercial,303.0,107575026
23296,2020-11-16,Commercial,2288.0,107683813
23297,2020-11-04,Fraud,2074.73,107830442
23298,2021-01-27,Fraud,727.49,108027804
23299,2021-02-05,Fraud,7150.0,108043955
23300,2020-11-11,Fraud,6000.0,108164866
23301,2020-11-18,Fraud,352.03,108294263
23302,2020-11-25,Fraud,329.0,108503438
23303,2020-11-18,Fraud,3466.0,108693888
23304,2020-11-25,Commercial,1282.93,108751307
23305,2020-11-11,Fraud,1920.0,108988433
23306,2021-01-12,Fraud,1102.0,109060968
23307,2020-11-11,Fraud,3152.0,109211745
23308,2020-11-11,Fraud,1535.0,109277159
23309,2020-11-05,Commercial,5000.0,109486929
23310,2020-12-09,Fraud,480.43,109614959
23311,2020-11-11,Fraud,1020.0,109795985
23312,2021-05-06,Commercial,459.56,109995492
23313,2021-01-12,Fraud,475.0,110203467
23314,2021-03-16,Commercial,1618.8,110398333
23315,2020-11-11,Fraud,1165.0,110559075
23316,2020-11-18,Fraud,583.0,110790010
23317,2020-11-30,Fraud,990.0,110801698
23318,2020-11-12,Fraud,1000.0,111062189
23319,2021-06-17,Fraud,200.0,111124936
23320,2020-11-20,Commercial,748.46,111329295
23321,2020-11-18,Fraud,705.0,111502683
23322,2021-06-17,Fraud,1300.0,111506985
23323,2021-02-15,Commercial,1091.3,111844259
23324,2021-01-11,Commercial,50000.0,111915767
23325,2021-01-20,Fraud,905.0,112068924
23326,2020-11-19,Fraud,10500.0,112206642
23327,2021-06-17,Fraud,1248.01,112422076
23328,2021-01-05,Fraud,1200.0,112565394
23329,2021-02-18,Commercial,587.43,112592016
23330,2021-06-17,Fraud,500.0,112750608
23331,2020-11-23,Fraud,6000.0,113055976
23332,2021-03-10,Fraud,6000.0,113135690
23333,2021-01-05,Commercial,2000.0,113343873
23334,2020-12-09,Fraud,483.0,113514220
23335,2020-12-16,Commercial,502.9,113564358
23336,2020-11-30,Fraud,1175.93,113711159
23337,2021-03-31,Fraud,738.0,113949459
23338,2021-02-24,Fraud,503.0,114087052
23339,2020-11-30,Fraud,3040.0,114295955
23340,2020-12-16,Fraud,1915.0,114422435
23341,2020-12-30,Fraud,3254.0,114632730
23342,2021-01-06,Commercial,22810.5,114781279
23343,2020-12-30,Commercial,2095.26,114897678
23344,2021-02-24,Fraud,1201.0,115283412
23345,2021-01-20,Fraud,2031.0,115332577
23346,2020-12-21,Fraud,590.0,115475716
23347,2021-01-27,Fraud,986.54,115657145
23348,2021-04-07,Fraud,600.0,115896752
23349,2020-12-22,Fraud,1995.55,115945147
23350,2020-12-15,Fraud,500.0,116163306
23351,2021-02-17,Commercial,2400.0,116292472
23352,2021-01-20,Fraud,708.0,116516238
23353,2021-05-28,Commercial,760.0,116669016
23354,2020-12-23,Commercial,3147.0,116837497
23355,2020-12-28,Fraud,9872.12,116896765
23356,2021-02-05,Fraud,343.0,117135713
23357,2021-03-03,Commercial,10100.0,117225453
23358,2021-04-12,Commercial,590.0,117312703
23359,2021-01-27,Fraud,1456.0,117605375
23360,2021-04-09,Commercial,475.0,117651684
23361,2021-01-27,Fraud,879.0,117925091
23362,2021-01-27,Fraud,2375.0,118055913
23363,2021-06-30,Fraud,739.0,118111091
23364,2021-01-27,Fraud,699.0,118336871
23365,2021-02-10,Commercial,1189.31,118447475
23366,2021-01-07,Fraud,319.77,118603639
23367,2021-01-20,Fraud,1085.0,118736649
23368,2021-04-16,Commercial,1806.25,118867312
23369,2021-02-01,Commercial,649.49,119106314
23370,2021-02-04,Fraud,960.0,119285215
23371,2021-02-10,Commercial,318.0,119403416
23372,2021-05-12,Fraud,1225.0,119652533
23373,2021-01-27,Fraud,752.42,119791542
23374,2021-01-27,Commercial,997.0,119977065
23375,2021-02-10,Fraud,387.0,120148091
23376,2021-01-20,Fraud,1524.0,120265035
23377,2021-01-20,Fraud,1131.0,120401072
23378,2021-01-27,Fraud,2455.0,120547339
23379,2021-01-21,Fraud,511.65,120796644
23380,2021-01-27,Fraud,1256.0,120993323
23381,2021-02-05,Fraud,2440.0,121153432
23382,2021-05-19,Fraud,1248.07,121349688
23383,2021-03-10,Fraud,597.06,121386983
23384,2021-01-20,Fraud,254.0,121554256
23385,2021-06-17,Fraud,500.0,121776632
23386,2021-02-24,Fraud,323.0,121866510
23387,2021-03-31,Commercial,243.0,122104263
23388,2021-05-12,Fraud,414.85,122116503
23389,2021-03-31,Fraud,673.21,122346574
23390,2021-02-24,Fraud,500.0,122408761
23391,2021-03-09,Fraud,1362.0,122534495
23392,2022-03-09,Commercial,3750.0,122804978
23393,2021-02-24,Fraud,897.0,123019199
23394,2021-03-31,Commercial,3354.0,123092245
23395,2021-02-24,Fraud,919.13,123270784
23396,2021-02-19,Commercial,2516.0,123357003
23397,2021-03-31,Fraud,518.26,123580662
23398,2021-03-10,Fraud,1243.0,123700565
23399,2021-02-02,Commercial,613.28,123753592
23400,2021-05-20,Commercial,167.0,124047282
23401,2021-02-01,Commercial,1583.64,124187139
23402,2021-02-08,Fraud,1199.0,124281022
23403,2021-04-07,Commercial,1484.27,124450729
23404,2021-02-09,Fraud,324.21,124677709
23405,2021-02-11,Commercial,119.0,124810347
23406,2021-03-26,Fraud,1123.76,124982952
23407,2021-03-24,Fraud,1570.0,125290410
23408,2021-03-09,Fraud,373.43,125485547
23409,2021-05-19,Commercial,257.0,125647652
23410,2021-03-19,Commercial,585.0,125789121
23411,2021-02-17,Fraud,2105.0,125860638
23412,2021-02-24,Fraud,2527.0,126063244
23413,2021-03-17,Fraud,1355.0,126144306
23414,2021-03-10,Fraud,2320.0,126404913
23415,2021-02-15,Commercial,8765.19,126534208
23416,2021-03-31,Fraud,400.91,126611938
23417,2021-03-25,Fraud,899.0,126835172
23418,2021-03-10,Fraud,856.0,126935517
23419,2021-04-07,Fraud,319.69,127088218
23420,2021-03-31,Fraud,513.0,127204733
23421,2021-03-31,Fraud,1756.0,127452556
12343,2021-03-10,Fraud,1176.0,127708091
12344,2021-04-07,Fraud,267.05,127808078
12345,2021-06-18,Commercial,2869.0,127988100
12346,2021-04-28,Fraud,1023.0,128083909
12347,2021-03-10,Fraud,1254.0,128182693
12348,2021-03-10,Fraud,2256.0,128377941
12349,2021-03-10,Fraud,549.0,128628495
12350,2021-03-08,Commercial,1426.15,128680323
12351,2021-04-16,Fraud,1295.0,128974795
12352,2021-03-17,Fraud,1715.65,129209503
12353,2021-06-01,Fraud,1560.0,129265133
12354,2021-03-15,Commercial,545.0,129568256
12355,2021-03-19,Commercial,3926.45,129810304
12356,2021-03-09,Fraud,373.43,129873600
12357,2021-06-11,Fraud,899.0,130060537
12358,2021-03-17,Fraud,395.0,130345205
12359,2021-04-07,Fraud,489.0,130571552
12360,2021-03-31,Fraud,424.33,130609128
12361,2021-04-07,Fraud,728.0,130877676
12362,2021-06-07,Fraud,343.0,131028414
12363,2021-07-13,Commercial,8490.0,131242301
12364,2021-03-15,Fraud,300.0,131294728
12365,2021-04-07,Fraud,462.0,131464582
12366,2021-04-21,Fraud,2678.0,131613560
12367,2021-06-11,Fraud,990.0,131741609
12368,2021-05-12,Fraud,941.36,131934099
12369,2021-05-06,Commercial,799.0,132109966
12370,2021-04-21,Fraud,2866.53,132393294
12371,2021-05-13,Fraud,727.0,132439006
12372,2021-04-08,Fraud,12000.0,132577554
12373,2021-04-09,Fraud,636.0,132763975
12374,2021-03-31,Fraud,373.87,133058472
12375,2021-04-07,Commercial,587.43,133227688
12376,2021-04-07,Fraud,978.0,133386593
12377,2021-05-05,Fraud,533.93,133431082
12378,2021-07-21,Commercial,3531.0,133663291
12379,2021-04-28,Fraud,1830.0,133951892
12380,2021-07-21,Commercial,3531.0,134077103
12381,2021-04-22,Commercial,302.0,134203225
12382,2021-04-07,Fraud,2257.0,134388250
12383,2021-05-19,Fraud,266.43,134550106
12384,2021-07-01,Fraud,20.0,134921621
12385,2021-07-29,Fraud,800.0,134954459
12386,2021-04-12,Fraud,602.41,135321053
12387,2021-04-29,Commercial,2909.35,135468302
12388,2021-07-05,Fraud,3937.0,135665462
12389,2021-04-09,Fraud,2990.0,135860945
12390,2021-04-16,Fraud,2990.0,136076033
12391,2021-04-21,Fraud,2990.0,136252633
12392,2021-05-05,Fraud,3159.0,136430458
12393,2021-04-26,Fraud,2990.0,136578373
12394,2021-04-19,Fraud,2990.0,136812834
12395,2021-07-08,Fraud,435.0,136855661
12396,2021-05-17,Commercial,3145.89,137060396
12397,2021-05-12,Fraud,785.0,137190866
12398,2021-07-23,Commercial,1365.0,137425096
12399,2021-07-07,Fraud,618.0,137640553
12400,2021-05-06,Fraud,500.0,137654956
12401,2021-05-18,Fraud,1225.0,137999566
12402,2021-05-12,Fraud,310.95,138069496
12403,2021-04-28,Fraud,2141.0,138234590
12404,2021-04-22,Fraud,349.0,138353546
12405,2021-05-17,Fraud,3945.0,138560333
12406,2021-04-28,Fraud,1477.0,138804865
12407,2021-06-02,Fraud,1537.0,138970868
12408,2021-05-17,Fraud,2109.0,139203423
12409,2021-05-05,Fraud,450.0,139380680
12410,2021-05-12,Fraud,1457.0,139445117
12411,2021-07-12,Fraud,1915.0,139692027
12412,2021-06-07,Commercial,544.0,139858813
12413,2021-07-01,Fraud,778.0,140115714
12414,2021-07-14,Commercial,999.0,140424657
12415,2021-08-20,Fraud,860.0,140563714
12416,2021-06-10,Fraud,2195.0,140659399
12417,2021-06-04,Fraud,590.0,140828111
12418,2021-05-18,Fraud,800.0,141097041
12419,2021-06-11,Fraud,999.0,141197703
12420,2021-07-29,Fraud,7040.06,141509809
12421,2021-07-21,Fraud,15440.0,141738325
12422,2021-06-10,Commercial,250.0,141767498
12423,2021-06-07,Fraud,299.0,141984246
12424,2021-05-28,Fraud,1205.0,142108164
12425,2021-06-29,Commercial,5215.85,142265376
12426,2021-08-02,Fraud,15579.93,142507022
12427,2021-05-20,Fraud,2284.0,142609258
12428,2021-09-15,Fraud,3192.0,142880467
12429,2021-08-05,Fraud,13559.8,143078609
12430,2021-07-01,Fraud,21309.18,143242971
12431,2021-05-24,Fraud,775.0,143366758
12432,2021-07-14,Fraud,2141.0,143434080
12433,2021-07-01,Fraud,3557.0,143716426
12434,2021-08-06,Fraud,6310.0,143900421
12435,2021-06-11,Commercial,176.4,144030584
12436,2021-06-21,Fraud,16920.0,144241315
12437,2021-07-06,Fraud,772.8,144302337
12438,2021-08-11,Fraud,16480.0,144606404
12439,2021-06-15,Commercial,1326.81,144765977
12440,2021-06-11,Commercial,427.0,144928146
12441,2021-08-18,Fraud,1437.0,145092059
12442,2021-08-18,Fraud,6104.0,145327676
12443,2021-08-06,Fraud,3984.0,145444304
12444,2021-06-02,Fraud,3023.0,145582466
12445,2021-08-02,Fraud,572.64,145684520
12446,2021-07-02,Fraud,681.0,146044258
12447,2021-06-17,Fraud,1482.0,146236879
12448,2021-06-22,Fraud,957.0,146446427
12449,2021-09-02,Fraud,665.0,146606911
12450,2021-06-21,Commercial,639.86,146757054
12451,2021-09-02,Fraud,250.0,146827859
12452,2021-09-20,Fraud,600.0,147040511
12453,2021-06-18,Fraud,202.23,147153897
12454,2021-06-25,Fraud,7831.33,147338398
12455,2021-06-22,Fraud,1874.0,147593803
12456,2021-07-29,Fraud,12840.0,147851416
12457,2021-08-09,Fraud,837.0,148014878
12458,2021-08-16,Fraud,998.0,148053032
12459,2021-07-21,Fraud,1478.0,148265402
12460,2021-08-19,Fraud,1457.0,148426639
12461,2021-06-24,Commercial,31500.0,148517408
12462,2021-07-06,Fraud,772.8,148685949
12463,2021-10-20,Commercial,266.43,148878252
12464,2021-07-08,Fraud,1885.0,149189416
12465,2021-07-13,Fraud,1099.42,149295881
12466,2021-06-25,Fraud,3885.0,149518599
12467,2021-07-01,Fraud,2170.0,149653470
12468,2021-07-02,Fraud,930.0,149750712
12469,2021-07-12,Fraud,740.0,149937696
12470,2021-07-12,Fraud,1015.0,150095629
12471,2021-08-06,Commercial,1261.93,150273116
12472,2021-07-27,Fraud,468.0,150588694
12473,2021-07-30,Fraud,699.0,150756310
12474,2021-07-23,Fraud,980.0,150798408
12475,2021-09-18,Commercial,4564.0,151003377
12476,2021-07-08,Fraud,532.86,151279885
12477,2021-08-16,Fraud,857.0,151537399
12478,2021-08-11,Fraud,821.0,151814267
12479,2021-09-01,Fraud,300.0,151905732
12480,2022-03-07,Commercial,7640.56,152053993
12481,2021-07-27,Fraud,3738.0,152345425
12482,2021-09-18,Commercial,424.0,152399794
12483,2021-08-11,Fraud,743.0,152755101
12484,2021-07-27,Commercial,616.0,152916534
12485,2021-07-27,Fraud,1099.0,153037520
12486,2021-08-18,Commercial,515.0,153275902
12487,2021-08-30,Fraud,1236.92,153432083
12488,2021-08-06,Fraud,2212.0,153782119
12489,2021-11-11,Fraud,499.0,153918793
12490,2021-08-04,Fraud,1118.0,154404307
12491,2021-08-04,Fraud,796.0,154631881
12492,2021-08-03,Commercial,298.53,154715132
12493,2021-09-15,Commercial,160.0,155155301
12494,2022-02-22,Commercial,512.62,155324796
12495,2021-08-04,Fraud,672.0,155787182
12496,2021-08-11,Fraud,657.0,155975494
12497,2021-09-07,Fraud,959.0,156255918
12498,2021-08-25,Fraud,180.0,156545038
12499,2021-08-26,Fraud,1180.0,156920045
12500,2021-09-20,Fraud,775.0,157391210
12501,2021-08-16,Fraud,200.0,157640307
12502,2021-08-10,Fraud,590.0,157691247
12503,2021-08-19,Fraud,300.0,158232961
12504,2021-08-17,Fraud,436.32,158266031
12505,2021-08-25,Commercial,873.0,158753267
12506,2021-08-18,Fraud,1341.0,159057141
12507,2021-09-28,Commercial,850.0,159260067
12508,2021-08-24,Fraud,1066.79,159465469
12509,2021-08-26,Commercial,218.0,159851091
12510,2021-08-16,Fraud,801.46,160059995
12511,2021-11-17,Fraud,508.0,160466608
12512,2021-08-11,Fraud,3117.0,160559855
12513,2021-09-28,Fraud,615.0,160842483
12514,2021-09-28,Fraud,1109.0,161205416
12515,2021-10-27,Fraud,250.0,161324719
12516,2021-08-13,Commercial,859.0,161690622
12517,2021-09-28,Fraud,1164.0,161926349
12518,2021-08-16,Fraud,1461.0,162030098
12519,2021-08-30,Fraud,1203.75,162328472
12520,2021-09-08,Fraud,1500.0,162683487
12521,2021-09-16,Commercial,19419.18,162749643
12522,2021-11-17,Fraud,456.0,163049969
12523,2021-08-26,Fraud,1700.61,163241024
