day,month,year,created_date,id,merchant_id,payment_method_id,charged_amount,captured,failure_code,card_id
2,1,2020,1/2/2020,68616432,13846,P001,480.43,TRUE,null,44736557
2,1,2020,1/2/2020,68604294,17693,P001,null,FALSE,null,44731371
2,1,2020,1/2/2020,68601530,13846,P001,673.03,TRUE,null,44730161
2,1,2020,1/2/2020,68647648,37768,P002,null,FALSE,invalid_account,null
2,1,2020,1/2/2020,68663253,37769,P002,null,FALSE,null,null
2,1,2020,1/2/2020,68628174,37768,P002,279.52,TRUE,null,null
2,1,2020,1/2/2020,68686990,19144,P005,21368,TRUE,null,null
2,1,2020,1/2/2020,68608532,37769,P002,200,TRUE,null,null
2,1,2020,1/2/2020,68648858,37768,P002,1156.67,TRUE,null,null
2,1,2020,1/2/2020,68697302,65025,P002,69,TRUE,null,null
2,1,2020,1/2/2020,68603449,37768,P002,576.73,TRUE,null,null
2,1,2020,1/2/2020,68646727,37768,P002,null,FALSE,insufficient_fund,null
2,1,2020,1/2/2020,68589968,37768,P002,1588.58,TRUE,null,null
3,1,2020,1/3/2020,68721355,61534,P001,null,FALSE,null,39125105
3,1,2020,1/3/2020,68768463,13846,P001,491.13,TRUE,null,24857983
3,1,2020,1/3/2020,68811592,16129,P001,null,FALSE,null,24282989
3,1,2020,1/3/2020,68789820,11382,P001,245,TRUE,null,40135857
3,1,2020,1/3/2020,68767193,13846,P001,426.93,TRUE,null,37130535
3,1,2020,1/3/2020,68711272,13846,P001,null,FALSE,insufficient_fund,44780447
3,1,2020,1/3/2020,68726052,13846,P001,754.43,TRUE,null,15703639
3,1,2020,1/3/2020,68739703,37768,P001,1388.86,TRUE,null,26715425
3,1,2020,1/3/2020,68779816,61534,P001,28,TRUE,null,43816304
3,1,2020,1/3/2020,68735932,17419,P001,1037.9,TRUE,null,20305949
3,1,2020,1/3/2020,68730567,15741,P001,747.93,TRUE,null,44787945
3,1,2020,1/3/2020,68707653,16129,P004,null,FALSE,timeout,null
3,1,2020,1/3/2020,68755500,37768,P002,549.34,TRUE,null,null
3,1,2020,1/3/2020,68738088,37768,P002,null,FALSE,insufficient_fund,null
3,1,2020,1/3/2020,68824819,37768,P002,853.86,TRUE,null,null
3,1,2020,1/3/2020,68817624,37768,P002,null,FALSE,null,null
3,1,2020,1/3/2020,68781985,19144,P005,null,FALSE,timeout,null
3,1,2020,1/3/2020,68701925,37769,P002,null,FALSE,insufficient_fund,null
3,1,2020,1/3/2020,68702810,37768,P002,null,FALSE,null,null
3,1,2020,1/3/2020,68814485,37768,P002,107,TRUE,null,null
3,1,2020,1/3/2020,68702248,37769,P002,null,FALSE,insufficient_fund,null
4,1,2020,1/4/2020,68839842,13846,P001,776.86,TRUE,null,18766883
4,1,2020,1/4/2020,68833789,15741,P001,null,FALSE,invalid_account_number,22906303
4,1,2020,1/4/2020,68918256,61534,P001,145,TRUE,null,43794921
4,1,2020,1/4/2020,68901408,11382,P001,509,TRUE,null,44862840
4,1,2020,1/4/2020,68931522,61534,P001,161,TRUE,null,37905767
4,1,2020,1/4/2020,68931776,13846,P001,319.06,TRUE,null,8190459
4,1,2020,1/4/2020,68898458,37768,P001,1232.64,TRUE,null,30053933
4,1,2020,1/4/2020,68929859,61534,P001,22,TRUE,null,42290332
4,1,2020,1/4/2020,68884045,13846,P001,214,TRUE,null,37232507
4,1,2020,1/4/2020,68923598,37768,P001,747.39,TRUE,null,23114216
4,1,2020,1/4/2020,68848364,60611,P001,250,TRUE,null,43165218
4,1,2020,1/4/2020,68864799,43626,P003,990,TRUE,null,null
4,1,2020,1/4/2020,68832858,37768,P002,532.86,TRUE,null,null
4,1,2020,1/4/2020,68851966,37768,P002,640.84,TRUE,null,null
4,1,2020,1/4/2020,68850093,37768,P002,null,FALSE,insufficient_fund,null
4,1,2020,1/4/2020,68855770,37768,P002,null,FALSE,null,null
4,1,2020,1/4/2020,68897007,37768,P002,1336.43,TRUE,null,null
4,1,2020,1/4/2020,68910321,43626,P003,4612.5,TRUE,null,null
4,1,2020,1/4/2020,68876448,37768,P002,559.61,TRUE,null,null
4,1,2020,1/4/2020,68919257,43626,P003,1260,TRUE,null,null
4,1,2020,1/4/2020,68926234,37768,P002,854.93,TRUE,null,null
5,1,2020,1/5/2020,69010663,3045,P001,3035.19,TRUE,null,44910529
5,1,2020,1/5/2020,69054763,16129,P001,200,TRUE,null,44929465
5,1,2020,1/5/2020,68952491,8616,P001,null,FALSE,payment_rejected,44884608
5,1,2020,1/5/2020,68950357,25272,P001,null,FALSE,payment_rejected,26577176
5,1,2020,1/5/2020,68996372,37768,P001,null,FALSE,null,44903824
5,1,2020,1/5/2020,68988055,17419,P001,378.78,TRUE,null,27724647
5,1,2020,1/5/2020,68993882,3045,P001,1538.17,TRUE,null,44902682
5,1,2020,1/5/2020,68971844,17693,P001,null,FALSE,null,44892688
5,1,2020,1/5/2020,68967488,37768,P001,424.79,TRUE,null,44890839
5,1,2020,1/5/2020,68971483,61534,P001,70,TRUE,null,40946152
5,1,2020,1/5/2020,69008749,8616,P001,1665.03,TRUE,null,44909642
5,1,2020,1/5/2020,69037728,37768,P002,587.43,TRUE,null,null
5,1,2020,1/5/2020,68978583,37768,P002,900.41,TRUE,null,null
5,1,2020,1/5/2020,69012153,37768,P002,null,FALSE,insufficient_fund,null
5,1,2020,1/5/2020,69016994,43626,P003,1102.5,TRUE,null,null
5,1,2020,1/5/2020,69024761,43626,P003,825,TRUE,null,null
5,1,2020,1/5/2020,68953119,37768,P002,null,FALSE,insufficient_fund,null
5,1,2020,1/5/2020,68981348,43624,P003,2015,TRUE,null,null
5,1,2020,1/5/2020,69031254,37768,P002,170.91,TRUE,null,null
5,1,2020,1/5/2020,69008297,37768,P002,null,FALSE,invalid_account,null
5,1,2020,1/5/2020,69024307,37768,P002,452.91,TRUE,null,null
6,1,2020,1/6/2020,69109717,25272,P001,1905.82,TRUE,null,26392798
6,1,2020,1/6/2020,69069360,43682,P001,319.93,TRUE,null,42394240
6,1,2020,1/6/2020,69101874,17693,P001,null,FALSE,invalid_security_code,44957184
6,1,2020,1/6/2020,69075517,61534,P001,30,TRUE,null,40675362
6,1,2020,1/6/2020,69086335,15748,P001,null,FALSE,invalid_security_code,44949951
6,1,2020,1/6/2020,69122720,17420,P001,912.68,TRUE,null,36133388
6,1,2020,1/6/2020,69105851,13846,P001,1047.53,TRUE,null,33553219
6,1,2020,1/6/2020,69106527,13846,P001,426.93,TRUE,null,29131426
6,1,2020,1/6/2020,69178967,61534,P001,24,TRUE,null,44266807
6,1,2020,1/6/2020,69153630,37768,P001,null,FALSE,null,44981199
6,1,2020,1/6/2020,69067172,13846,P001,1269.64,TRUE,null,44944761
6,1,2020,1/6/2020,69180266,37768,P002,799.29,TRUE,null,null
6,1,2020,1/6/2020,69121028,43626,P003,3980,TRUE,null,null
6,1,2020,1/6/2020,69157163,37769,P002,50,TRUE,null,null
6,1,2020,1/6/2020,69097706,37768,P002,1175.93,TRUE,null,null
6,1,2020,1/6/2020,69161571,37769,P002,null,FALSE,invalid_account,null
6,1,2020,1/6/2020,69148749,43624,P003,355,TRUE,null,null
6,1,2020,1/6/2020,69093269,37768,P002,1013.29,TRUE,null,null
6,1,2020,1/6/2020,69164501,37768,P002,1187.7,TRUE,null,null
6,1,2020,1/6/2020,69078303,37768,P002,1134.73,TRUE,null,null
6,1,2020,1/6/2020,69096529,16129,P004,null,FALSE,timeout,null
7,1,2020,1/7/2020,69233745,22868,P001,205,TRUE,null,45009454
7,1,2020,1/7/2020,69267636,13846,P001,898.32,TRUE,null,42026920
7,1,2020,1/7/2020,69250961,3045,P001,null,FALSE,failed_processing,45017552
7,1,2020,1/7/2020,69281561,13846,P001,null,FALSE,payment_rejected,24167805
7,1,2020,1/7/2020,69280420,61534,P001,26,TRUE,null,37454978
7,1,2020,1/7/2020,69269791,13846,P001,694.43,TRUE,null,45027141
7,1,2020,1/7/2020,69254109,3045,P001,726.42,TRUE,null,45019068
7,1,2020,1/7/2020,69281574,3045,P001,747.93,TRUE,null,45032667
7,1,2020,1/7/2020,69293279,17693,P001,null,FALSE,invalid_security_code,45037752
7,1,2020,1/7/2020,69278847,16129,P001,20,TRUE,null,45031383
7,1,2020,1/7/2020,69266483,11382,P001,1292,TRUE,null,44925306
7,1,2020,1/7/2020,69240501,37768,P002,965.67,TRUE,null,null
7,1,2020,1/7/2020,69249250,43624,P003,5380,TRUE,null,null
7,1,2020,1/7/2020,69269010,37768,P002,770.4,TRUE,null,null
7,1,2020,1/7/2020,69237569,37768,P002,208.91,TRUE,null,null
7,1,2020,1/7/2020,69228977,37768,P002,1175.93,TRUE,null,null
7,1,2020,1/7/2020,69270973,37769,P002,100,TRUE,null,null
7,1,2020,1/7/2020,69210529,16129,P004,null,FALSE,timeout,null
7,1,2020,1/7/2020,69307934,37768,P002,null,FALSE,insufficient_fund,null
7,1,2020,1/7/2020,69291777,37768,P002,null,FALSE,invalid_account,null
7,1,2020,1/7/2020,69267606,43626,P003,1465,TRUE,null,null
8,1,2020,1/8/2020,69371775,61534,P001,118,TRUE,null,29731940
8,1,2020,1/8/2020,69423822,13846,P001,null,FALSE,payment_rejected,45094404
8,1,2020,1/8/2020,69326496,61534,P001,89,TRUE,null,41951769
8,1,2020,1/8/2020,69390981,17693,P001,null,FALSE,invalid_security_code,45080309
8,1,2020,1/8/2020,69403371,17420,P001,226.84,TRUE,null,45085953
8,1,2020,1/8/2020,69357573,17420,P001,1959.87,TRUE,null,11794027
8,1,2020,1/8/2020,69387542,13846,P001,null,FALSE,invalid_security_code,45078460
8,1,2020,1/8/2020,69423703,61534,P001,44,TRUE,null,40996401
8,1,2020,1/8/2020,69326472,13846,P001,996.93,TRUE,null,45050555
8,1,2020,1/8/2020,69380097,17420,P001,5636.33,TRUE,null,39781413
8,1,2020,1/8/2020,69371734,11382,P001,1824,TRUE,null,45069761
8,1,2020,1/8/2020,69361950,37768,P002,1237.99,TRUE,null,null
8,1,2020,1/8/2020,69362160,37768,P002,854.93,TRUE,null,null
8,1,2020,1/8/2020,69415409,616,P002,307,TRUE,null,null
8,1,2020,1/8/2020,69377484,43626,P003,1650,TRUE,null,null
8,1,2020,1/8/2020,69353799,43624,P003,665,TRUE,null,null
8,1,2020,1/8/2020,69318189,13744,P004,null,FALSE,timeout,null
8,1,2020,1/8/2020,69358189,43626,P003,13100,TRUE,null,null
8,1,2020,1/8/2020,69341814,37768,P002,1923.86,TRUE,null,null
8,1,2020,1/8/2020,69391058,37769,P002,50,TRUE,null,null
8,1,2020,1/8/2020,69386908,43624,P003,10110,TRUE,null,null
9,1,2020,1/9/2020,69472296,61534,P001,16,TRUE,null,44235684
9,1,2020,1/9/2020,69499384,37768,P001,730,TRUE,null,45126815
9,1,2020,1/9/2020,69451506,37768,P001,null,FALSE,payment_rejected,45104186
9,1,2020,1/9/2020,69516426,61534,P001,159.75,TRUE,null,40402704
9,1,2020,1/9/2020,69508318,37768,P001,null,FALSE,null,36932447
9,1,2020,1/9/2020,69511437,9034,P001,927,TRUE,null,41717577
9,1,2020,1/9/2020,69468148,61534,P001,50,TRUE,null,42465580
9,1,2020,1/9/2020,69496110,3045,P001,320.46,TRUE,null,45125333
9,1,2020,1/9/2020,69462087,13846,P001,323.14,TRUE,null,43679754
9,1,2020,1/9/2020,69519426,61534,P001,43,TRUE,null,34781163
9,1,2020,1/9/2020,69455964,14563,P001,5270,TRUE,null,45106003
9,1,2020,1/9/2020,69463625,37768,P002,534.46,TRUE,null,null
9,1,2020,1/9/2020,69502747,37768,P002,452.03,TRUE,null,null
9,1,2020,1/9/2020,69489212,37769,P002,null,FALSE,insufficient_fund,null
9,1,2020,1/9/2020,69526631,37768,P002,160.18,TRUE,null,null
9,1,2020,1/9/2020,69521583,37768,P002,831.39,TRUE,null,null
9,1,2020,1/9/2020,69493834,37768,P002,432.28,TRUE,null,null
9,1,2020,1/9/2020,69488146,43626,P003,1320,TRUE,null,null
9,1,2020,1/9/2020,69465504,43626,P003,3060,TRUE,null,null
9,1,2020,1/9/2020,69437471,37769,P002,null,FALSE,null,null
9,1,2020,1/9/2020,69457606,65025,P002,null,FALSE,null,null
10,1,2020,1/10/2020,69564401,13846,P001,null,FALSE,null,45150027
10,1,2020,1/10/2020,69584529,13846,P001,null,FALSE,payment_rejected,16498250
10,1,2020,1/10/2020,69547354,59147,P001,2000,TRUE,null,34000572
10,1,2020,1/10/2020,69616444,8616,P001,1394.46,TRUE,null,45173216
10,1,2020,1/10/2020,69618392,13846,P001,null,FALSE,invalid_security_code,45174046
10,1,2020,1/10/2020,69597582,3045,P001,854.93,TRUE,null,45164543
10,1,2020,1/10/2020,69630207,71206,P001,70,TRUE,null,42591654
10,1,2020,1/10/2020,69541468,25272,P001,null,FALSE,insufficient_fund,10603804
10,1,2020,1/10/2020,69585650,61534,P001,160,TRUE,null,39889909
10,1,2020,1/10/2020,69570397,17693,P001,null,FALSE,null,45152364
10,1,2020,1/10/2020,69582596,51848,P001,2140,TRUE,null,44918893
10,1,2020,1/10/2020,69567462,37768,P002,533.93,TRUE,null,null
10,1,2020,1/10/2020,69644497,37768,P002,null,FALSE,invalid_account,null
10,1,2020,1/10/2020,69544525,16129,P004,null,FALSE,timeout,null
10,1,2020,1/10/2020,69548764,37768,P002,1175.93,TRUE,null,null
10,1,2020,1/10/2020,69615469,37769,P002,20,TRUE,null,null
10,1,2020,1/10/2020,69622771,16129,P004,null,FALSE,timeout,null
10,1,2020,1/10/2020,69584826,43626,P003,2150,TRUE,null,null
10,1,2020,1/10/2020,69567132,37769,P002,null,FALSE,invalid_account,null
10,1,2020,1/10/2020,69555763,37769,P002,null,FALSE,invalid_account,null
10,1,2020,1/10/2020,69570096,37768,P002,113.85,TRUE,null,null
11,1,2020,1/11/2020,69737838,65025,P001,99,TRUE,null,45221343
11,1,2020,1/11/2020,69724451,2750,P001,null,FALSE,insufficient_fund,44980615
11,1,2020,1/11/2020,69681470,13846,P001,null,FALSE,insufficient_fund,14260698
11,1,2020,1/11/2020,69674527,1665,P001,null,FALSE,null,45194654
11,1,2020,1/11/2020,69737286,65025,P001,99,TRUE,null,45221109
11,1,2020,1/11/2020,69747075,16129,P001,null,FALSE,null,45235307
11,1,2020,1/11/2020,69691044,17419,P001,1300.12,TRUE,null,41786748
11,1,2020,1/11/2020,69706905,61534,P001,35,TRUE,null,22455390
11,1,2020,1/11/2020,69751508,11757,P001,398,TRUE,null,45242014
11,1,2020,1/11/2020,69704779,3045,P001,1802.74,TRUE,null,45207220
11,1,2020,1/11/2020,69719283,33506,P001,2578,TRUE,null,45213544
11,1,2020,1/11/2020,69698610,53661,P005,null,FALSE,timeout,null
11,1,2020,1/11/2020,69660174,37769,P002,50,TRUE,null,null
11,1,2020,1/11/2020,69744864,37769,P002,null,FALSE,insufficient_fund,null
11,1,2020,1/11/2020,69705828,37769,P002,null,FALSE,null,null
11,1,2020,1/11/2020,69682733,37768,P002,642.54,TRUE,null,null
11,1,2020,1/11/2020,69691951,37768,P002,null,FALSE,insufficient_fund,null
11,1,2020,1/11/2020,69704364,48917,P005,299,TRUE,null,null
11,1,2020,1/11/2020,69755059,65025,P002,319,TRUE,null,null
11,1,2020,1/11/2020,69750482,37768,P002,null,FALSE,insufficient_fund,null
11,1,2020,1/11/2020,69744956,65025,P002,99,TRUE,null,null
12,1,2020,1/12/2020,69831272,61534,P001,null,FALSE,invalid_security_code,11504433
12,1,2020,1/12/2020,69857476,61534,P001,41,TRUE,null,38151681
12,1,2020,1/12/2020,69836421,37768,P001,480.96,TRUE,null,45373844
12,1,2020,1/12/2020,69777589,61534,P001,123,TRUE,null,43793639
12,1,2020,1/12/2020,69817865,61534,P001,30,TRUE,null,40032732
12,1,2020,1/12/2020,69808405,61534,P001,159,TRUE,null,43386846
12,1,2020,1/12/2020,69818075,15748,P001,200,TRUE,null,45345702
12,1,2020,1/12/2020,69795249,4646,P001,300,TRUE,null,43651991
12,1,2020,1/12/2020,69809967,61534,P001,289,TRUE,null,39409557
12,1,2020,1/12/2020,69802318,61534,P001,52,TRUE,null,43419939
12,1,2020,1/12/2020,69793549,4478,P001,799,TRUE,null,45313516
12,1,2020,1/12/2020,69766646,16129,P004,null,FALSE,timeout,null
12,1,2020,1/12/2020,69820238,15748,P002,null,FALSE,null,null
12,1,2020,1/12/2020,69823662,19144,P005,null,FALSE,timeout,null
12,1,2020,1/12/2020,69794513,37769,P002,null,FALSE,null,null
12,1,2020,1/12/2020,69800665,65025,P002,179,TRUE,null,null
12,1,2020,1/12/2020,69830972,37768,P002,3167.68,TRUE,null,null
12,1,2020,1/12/2020,69803655,37768,P002,855.36,TRUE,null,null
12,1,2020,1/12/2020,69849270,37768,P002,376.64,TRUE,null,null
12,1,2020,1/12/2020,69839594,26916,P005,null,FALSE,timeout,null
12,1,2020,1/12/2020,69796713,37768,P002,854.93,TRUE,null,null
13,1,2020,1/13/2020,69947148,17419,P001,640.93,TRUE,null,43933899
13,1,2020,1/13/2020,69925422,16129,P001,50,TRUE,null,45535632
13,1,2020,1/13/2020,69879647,61534,P001,32,TRUE,null,43231050
13,1,2020,1/13/2020,69922290,9548,P001,84,TRUE,null,13864650
13,1,2020,1/13/2020,69955257,71207,P001,652,TRUE,null,38168543
13,1,2020,1/13/2020,69890376,17420,P001,3917.86,TRUE,null,36898315
13,1,2020,1/13/2020,69911519,61534,P001,49,TRUE,null,44271919
13,1,2020,1/13/2020,69940412,3045,P001,1476.6,TRUE,null,45542700
13,1,2020,1/13/2020,69903633,13846,P001,470.71,TRUE,null,43541014
13,1,2020,1/13/2020,69925961,15748,P001,850,TRUE,null,45535879
13,1,2020,1/13/2020,69882278,4478,P001,500,TRUE,null,45485846
13,1,2020,1/13/2020,69881825,13744,P004,null,FALSE,timeout,null
13,1,2020,1/13/2020,69934028,37768,P002,null,FALSE,null,null
13,1,2020,1/13/2020,69873052,37768,P002,4933.77,TRUE,null,null
13,1,2020,1/13/2020,69884681,37769,P002,null,FALSE,insufficient_fund,null
13,1,2020,1/13/2020,69946657,37768,P002,null,FALSE,insufficient_fund,null
13,1,2020,1/13/2020,69918204,43626,P003,4075,TRUE,null,null
13,1,2020,1/13/2020,69872705,37769,P002,20,TRUE,null,null
13,1,2020,1/13/2020,69953786,15748,P002,50,TRUE,null,null
13,1,2020,1/13/2020,69924435,37768,P002,231.98,TRUE,null,null
13,1,2020,1/13/2020,69872557,15748,P002,null,FALSE,insufficient_fund,null
14,1,2020,1/14/2020,70005002,61534,P001,171,TRUE,null,39109953
14,1,2020,1/14/2020,70042476,13846,P001,853.86,TRUE,null,35859010
14,1,2020,1/14/2020,70032527,17419,P001,3638,TRUE,null,39206581
14,1,2020,1/14/2020,69998574,43682,P001,656.98,TRUE,null,21977501
14,1,2020,1/14/2020,70089134,17419,P001,3206.79,TRUE,null,42712963
14,1,2020,1/14/2020,70004589,2750,P001,315,TRUE,null,45177541
14,1,2020,1/14/2020,69992594,25272,P001,null,FALSE,failed_processing,43146564
14,1,2020,1/14/2020,70015727,9548,P001,226,TRUE,null,29174655
14,1,2020,1/14/2020,70078304,61534,P001,434,TRUE,null,41924036
14,1,2020,1/14/2020,70058729,17420,P001,2000,TRUE,null,27896179
14,1,2020,1/14/2020,69998735,43682,P001,384.67,TRUE,null,36575772
14,1,2020,1/14/2020,69995818,37769,P002,null,FALSE,null,null
14,1,2020,1/14/2020,69987080,37768,P002,null,FALSE,insufficient_fund,null
14,1,2020,1/14/2020,70075855,43626,P003,2050,TRUE,null,null
14,1,2020,1/14/2020,70098217,16129,P004,null,FALSE,timeout,null
14,1,2020,1/14/2020,70067187,37768,P002,null,FALSE,insufficient_fund,null
14,1,2020,1/14/2020,70054634,43626,P003,5655,TRUE,null,null
14,1,2020,1/14/2020,70062574,37769,P002,20,TRUE,null,null
14,1,2020,1/14/2020,70034158,16129,P004,null,FALSE,timeout,null
14,1,2020,1/14/2020,70048837,37768,P002,904.93,TRUE,null,null
14,1,2020,1/14/2020,70005311,25272,P005,4218.8,TRUE,null,null
15,1,2020,1/15/2020,70150617,37768,P001,null,FALSE,null,43301157
15,1,2020,1/15/2020,70186694,13846,P001,null,FALSE,invalid_security_code,45641996
15,1,2020,1/15/2020,70201584,13846,P001,35.47,TRUE,null,9513572
15,1,2020,1/15/2020,70212087,61534,P001,29,TRUE,null,42803899
15,1,2020,1/15/2020,70215811,61534,P001,176,TRUE,null,42242180
15,1,2020,1/15/2020,70217146,13846,P001,63.13,TRUE,null,17253502
15,1,2020,1/15/2020,70188813,61534,P001,54,TRUE,null,41411571
15,1,2020,1/15/2020,70216979,37768,P001,null,FALSE,invalid_security_code,45655047
15,1,2020,1/15/2020,70205565,61534,P001,49,TRUE,null,38007863
15,1,2020,1/15/2020,70137274,37768,P001,705.13,TRUE,null,26922209
15,1,2020,1/15/2020,70163349,11382,P001,1134,TRUE,null,45611898
15,1,2020,1/15/2020,70193498,37768,P002,null,FALSE,insufficient_fund,null
15,1,2020,1/15/2020,70202115,37768,P002,null,FALSE,null,null
15,1,2020,1/15/2020,70108957,37769,P002,200,TRUE,null,null
15,1,2020,1/15/2020,70212739,37768,P002,1175.93,TRUE,null,null
15,1,2020,1/15/2020,70166535,37769,P002,null,FALSE,invalid_account,null
15,1,2020,1/15/2020,70149349,37768,P002,426.93,TRUE,null,null
15,1,2020,1/15/2020,70122397,37768,P002,null,FALSE,null,null
15,1,2020,1/15/2020,70129364,37768,P002,856,TRUE,null,null
15,1,2020,1/15/2020,70144710,37768,P002,207.36,TRUE,null,null
15,1,2020,1/15/2020,70131483,37768,P002,432,TRUE,null,null
16,1,2020,1/16/2020,70258947,13846,P001,212.93,TRUE,null,26985987
16,1,2020,1/16/2020,70267183,49157,P001,869,TRUE,null,45674360
16,1,2020,1/16/2020,70258973,13846,P001,2351.86,TRUE,null,33802182
16,1,2020,1/16/2020,70265376,19144,P001,27150,TRUE,null,45673653
16,1,2020,1/16/2020,70263094,71207,P001,70,TRUE,null,40307660
16,1,2020,1/16/2020,70314519,37768,P001,961.93,TRUE,null,40302672
16,1,2020,1/16/2020,70270404,61534,P001,14,TRUE,null,26938097
16,1,2020,1/16/2020,70293974,61534,P001,176,TRUE,null,43920151
16,1,2020,1/16/2020,70309092,8616,P001,1633.81,TRUE,null,45693460
16,1,2020,1/16/2020,70323900,37768,P001,533.93,TRUE,null,45699439
16,1,2020,1/16/2020,70290556,16129,P001,500,TRUE,null,45685592
16,1,2020,1/16/2020,70249553,37768,P002,426.93,TRUE,null,null
16,1,2020,1/16/2020,70315578,54116,P005,null,FALSE,timeout,null
16,1,2020,1/16/2020,70229677,37769,P002,null,FALSE,invalid_account,null
16,1,2020,1/16/2020,70280662,37768,P002,929.83,TRUE,null,null
16,1,2020,1/16/2020,70278994,43626,P003,440,TRUE,null,null
16,1,2020,1/16/2020,70274547,37768,P002,156.76,TRUE,null,null
16,1,2020,1/16/2020,70235399,37768,P002,null,FALSE,insufficient_fund,null
16,1,2020,1/16/2020,70266851,37769,P002,null,FALSE,null,null
16,1,2020,1/16/2020,70276928,43626,P003,1430,TRUE,null,null
16,1,2020,1/16/2020,70275761,44439,P005,267.5,TRUE,null,null
17,1,2020,1/17/2020,70370141,71207,P001,85,TRUE,null,41875636
17,1,2020,1/17/2020,70389384,17419,P001,747.93,TRUE,null,45720723
17,1,2020,1/17/2020,70388035,61534,P001,29,TRUE,null,37467621
17,1,2020,1/17/2020,70401933,17693,P001,null,FALSE,invalid_security_code,45726684
17,1,2020,1/17/2020,70431791,37768,P001,733.81,TRUE,null,45738905
17,1,2020,1/17/2020,70351435,61534,P001,32,TRUE,null,43073272
17,1,2020,1/17/2020,70380439,37768,P001,null,FALSE,payment_rejected,40426930
17,1,2020,1/17/2020,70337083,25272,P001,null,FALSE,payment_rejected,32805933
17,1,2020,1/17/2020,70398319,56289,P001,362,TRUE,null,45725077
17,1,2020,1/17/2020,70381349,61534,P001,116,TRUE,null,44870907
17,1,2020,1/17/2020,70331053,11382,P001,872,TRUE,null,45701691
17,1,2020,1/17/2020,70440692,19144,P005,null,FALSE,timeout,null
17,1,2020,1/17/2020,70376833,43626,P003,2170,TRUE,null,null
17,1,2020,1/17/2020,70368865,19144,P005,null,FALSE,timeout,null
17,1,2020,1/17/2020,70383350,37769,P002,null,FALSE,invalid_account,null
17,1,2020,1/17/2020,70386180,37768,P002,214,TRUE,null,null
17,1,2020,1/17/2020,70389151,43626,P003,880,TRUE,null,null
17,1,2020,1/17/2020,70414279,37768,P002,null,FALSE,insufficient_fund,null
17,1,2020,1/17/2020,70422621,37769,P002,null,FALSE,null,null
17,1,2020,1/17/2020,70406314,43626,P003,2195,TRUE,null,null
17,1,2020,1/17/2020,70399147,43626,P003,5560,TRUE,null,null
18,1,2020,1/18/2020,70493782,3045,P001,1174.86,TRUE,null,45762165
18,1,2020,1/18/2020,70493962,61534,P001,39,TRUE,null,40689840
18,1,2020,1/18/2020,70460888,60611,P001,null,FALSE,insufficient_fund,43850950
18,1,2020,1/18/2020,70518222,37769,P001,100,TRUE,null,45772360
18,1,2020,1/18/2020,70508630,61534,P001,41,TRUE,null,45549836
18,1,2020,1/18/2020,70479006,17419,P001,1068.93,TRUE,null,24700099
18,1,2020,1/18/2020,70447144,37768,P001,630.23,TRUE,null,45745609
18,1,2020,1/18/2020,70482865,37768,P001,533.93,TRUE,null,45757828
18,1,2020,1/18/2020,70462123,37768,P001,null,FALSE,invalid_security_code,45749920
